source,target,sign
A2M,MMP2,-1
A2M,MMP9,-1
AAK1,AP2M1,1
AAK1,NUMB,1
AANAT,MTNR1A,1
AANAT,MTNR1B,1
AATK,CDK5R1,1
AATK,STK39,-1
ABI1,CBL,1
ABI1_EPS8_SOS1,RAC1,1
ABL1,ABI1,1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ARHGAP35,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,BCR,1
ABL1,BTK,-1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CD19,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CEBPB,1
ABL1,CRK,-1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,CTTN,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DNM2,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,ERCC6,1
ABL1,ESR1,1
ABL1,GRAP,1
ABL1,GRB2,-1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,HSPA1A,1
ABL1,IRS1,1
ABL1,JAK2,1
ABL1,JUN,1
ABL1,MAP2K6,1
ABL1,MAP3K1,1
ABL1,MAP4K1,1
ABL1,MDM2,-1
ABL1,MDM4,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,MYOD1,-1
ABL1,NCK1,1
ABL1,NCOA3,1
ABL1,NEDD9,1
ABL1,NFKBIA,1
ABL1,PDGFRB,1
ABL1,PLCG1,-1
ABL1,PLK1,1
ABL1,PPARG,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKDC,-1
ABL1,PRKN,-1
ABL1,PSMA7,-1
ABL1,PSTPIP1,1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RACK1,1
ABL1,RB1,-1
ABL1,RIN1,1
ABL1,SHC1,1
ABL1,SOS1,1
ABL1,STAT1,1
ABL1,STAT3,1
ABL1,STAT5A,1
ABL1,STAT5B,1
ABL1,STAT6,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TP53BP1,1
ABL1,TP63,1
ABL1,TP73,1
ABL1,TUB,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,YAP1,1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,CTTN,1
ABL2,NFKBIB,1
ABL2,PDGFRB,-1
ABL2,PSMA7,-1
ABL2,RIN1,1
ABR,RAC1,-1
ABRAXAS1,BRCA1,1
ACAT1,PDP1,-1
ACD,RPA1,-1
ACD,RPA2,-1
ACD_POT1_TERF1_TERF2_TERF2IP_TINF2,ATM,-1
ACOX1,TP73,-1
ACP1,AKT1,-1
ACP1,AKT2,-1
ACP1,AKT3,-1
ACP1,CTNNB1,1
ACP1,EPHA2,1
ACP1,PDGFRB,-1
ACP1,PTK2,-1
ACP1,SRC,1
ACP1,ZAP70,1
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,ATM,1
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,H2AX,1
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,H4C2,1
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,TP53,1
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,UBTF,1
ACTB,ABL1,-1
ACTB,ARPC2,1
ACTB,CTTN,1
ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1,H4C2,1
ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,H4C2,-1
ACTL6A,ATM,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,CDKN1A,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,E2F3,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,GADD45A,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,H4C2,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,RB1,1
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,TP53,1
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,RUNX1,1
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,TP53,1
ACTN1,CAPN1,-1
ACTR2,ACVR1B,1
ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L,CDH1,1
ACVR1,LIN7C_PALS1_PATJ,1
ACVR1,SMAD1,1
ACVR1,SMAD5,1
ACVR1,VPS39,1
ACVR1B,SMAD2,1
ACVR1B,SMAD3,1
ACVR1C,SMAD2,1
ACVR1C,SMAD3,1
ACVR2A,ACVR1,1
ACVR2A,ACVR1B,1
ACVR2B,ACVR1,1
ACVR2B,ACVR1B,1
ACVR2B,ACVR1C,1
ACVR2B,ACVRL1,1
ACVR2B,BMPR1A,1
ACVR2B,BMPR1B,1
ACVR2B,SMAD2,1
ACVR2B,SMAD3,1
ACVRL1,SMAD1,1
ADAM10,BTC,1
ADAM10,CDH1,1
ADAM10,EGF,1
ADAM10,ERBB2,1
ADAM10,NOTCH1,1
ADAM10,NOTCH2,1
ADAM10,NOTCH3,1
ADAM12,ITGA9,1
ADAM12,ITGB1,1
ADAM12,PIK3CA,1
ADAM12,SDC4,1
ADAM15,ITGA5,1
ADAM15,ITGA9,1
ADAM15,ITGB1,1
ADAM15,ITGB3,1
ADAM17,AREG,1
ADAM17,ERBB4,1
ADAM17,EREG,1
ADAM17,HBEGF,1
ADAM17,ITGA5,1
ADAM17,ITGB1,1
ADAM17,MUC1,-1
ADAM17,NOTCH1,1
ADAM17,PTPRF,-1
ADAM17,TGFA,1
ADAM17,TNF,1
ADAM2,ITGA6,1
ADAM2,ITGB1,1
ADAM23,ITGA5,1
ADAM23,ITGB3,1
ADAM9,FGFR2,-1
ADAM9,ITGA6,1
ADAM9,ITGAV,1
ADAM9,ITGB1,1
ADAM9,ITGB5,1
ADARB1,EIF2AK2,1
ADCK5,SOX9,1
ADCY5,CAMP,1
ADGRG1,RHOA,1
ADIPOR1,APPL1,1
ADIPOR2,APPL1,1
ADNP,ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,1
ADNP,CTCF,-1
ADNP,CTNNB1,1
ADNP,MAP1LC3B,1
ADORA1,GNAI1,1
ADORA1,GNAO1,1
ADORA1,GNB2,1
ADORA2A,GNAI1,1
ADORA2A,GNAO1,1
ADORA2A,GNAQ,1
ADORA2A,GNAS,1
ADORA2A,GNB2,1
ADORA2B,GNAI1,1
ADORA2B,GNAO1,1
ADORA2B,GNAQ,1
ADORA2B,GNAS,1
ADORA3,GNAI1,1
ADRA1A,GNA11,1
ADRA1A,GNA13,1
ADRA1A,GNAQ,1
ADRA1A,GNAS,1
ADRA1A,GNB2,1
ADRA1B,GNAQ,1
ADRA1B,GNAS,1
ADRA1D,GNAQ,1
ADRA1D,GNAS,1
ADRA2A,GNAI1,1
ADRA2A,GNAO1,1
ADRA2A,GNB2,1
ADRA2B,GNA12,1
ADRA2B,GNAI1,1
ADRA2B,GNAO1,1
ADRA2C,GNAI1,1
ADRA2C,GNAO1,1
ADRB1,GNAS,1
ADRB2,GNAQ,1
ADRB2,GNAS,1
ADRB2,GNB2,1
ADRM1,UCHL5,1
ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,CTNNB1,-1
ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,P03186_RPS27A,-1
