source_original,score,level,RNA_data
A2M,1.3263795439338464,3,-0.3147684335708618
AAK1,-0.37879908761508063,2,0.037980400025844574
AANAT,-2.0040652221892903,3,-0.06928212195634842
AATK,2.238868786834252,3,0.4451879560947418
ABI1,0.5920793195770575,3,0.02021409384906292
ABI1_EPS8_SOS1,-1.7052626275791138,2,NA
ABL1,-1.3752451217007422,0,-0.015177327208220959
ABL2,-2.8114279049717226,1,-0.11294730752706528
ABR,1.7052626275791138,2,0.06411401927471161
ABRAXAS1,-0.15290647493237314,1,-0.011840371415019035
ACAT1,-1.0853258319776649,2,0.03384321182966232
ACD,-0.6060797273233923,3,0.02658657729625702
ACD_POT1_TERF1_TERF2_TERF2IP_TINF2,1.7631960826379132,2,NA
ACOX1,0.5367000710698688,1,0.013957063667476177
ACP1,-0.7864276440726885,1,-0.021485213190317154
ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,-1.321472321721652,1,NA
ACTB,-0.06189728963522878,1,-0.15106309950351715
ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1,0.13102558766037958,2,NA
ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,-0.13102558766037958,2,NA
ACTL6A,-1.7631960826379132,2,-0.042209677398204803
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,-1.1330179753509528,1,NA
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,-2.4964769931409645,1,NA
ACTN1,-0.08448391938996787,3,-0.30343490839004517
ACTR2,-1.3981547118992088,2,-0.09776818752288818
ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L,0.6873391710135573,2,NA
ACVR1,-1.202308554305561,1,-0.08558009564876556
ACVR1B,-3.1381844820466367,1,0.037025030702352524
ACVR1C,-3.1381844820466367,1,0.6981807351112366
ACVR2A,-1.2501816832108115,2,0.05258539319038391
ACVR2B,-3.1381844820466367,1,0.190506711602211
ACVRL1,-1.5348773689290023,1,-0.07181975990533829
ADAM10,-0.33557875229734474,1,-0.08197133243083954
ADAM12,-0.8616969011533996,3,-0.3764958381652832
ADAM15,0.8316759753745794,3,-0.05973617359995842
ADAM17,-0.33557875229734474,1,-0.10635069012641907
ADAM2,-0.005981297060165518,3,0.004572986159473658
ADAM23,1.181143277230307,3,0.250612735748291
ADAM9,-0.4253221851992973,3,-0.24524712562561035
ADARB1,-1.5734046015273544,2,-0.030613640323281288
ADCK5,1.3125498800641344,1,-0.03609718382358551
ADCY5,-1.8415649901915012,3,0.440786212682724
ADGRG1,-0.261305403687308,3,0.18612568080425262
ADIPOR1,-0.4585730033064788,3,-0.09299259632825851
ADIPOR2,-0.4585730033064788,3,0.03396036475896835
ADNP,-0.3177927017490721,1,0.03382901847362518
ADORA1,-1.260655376845782,3,0.017582105472683907
ADORA2A,-1.2653488201666148,3,0.0847591757774353
ADORA2B,-1.8628360601676752,3,-0.1671367585659027
ADORA3,-1.8494847257682756,3,-0.13988223671913147
ADRA1A,0.27098949421186996,3,0.09678790718317032
ADRA1B,-0.4533286658074623,3,0.31389448046684265
ADRA1D,-0.4533286658074623,3,-0.14363175630569458
ADRA2A,-1.260655376845782,3,-0.03859248384833336
ADRA2B,-2.178482054073793,3,0.025257699191570282
ADRA2C,-2.178482054073793,3,0.47116395831108093
ADRB1,-1.4199345214763202,3,0.23578326404094696
ADRB2,0.14467381694395587,3,0.10744671523571014
ADRM1,-0.22422375916641313,2,-0.09807742387056351
ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1,0.7864276440726885,1,NA
AEBP1,1.6470297304918335,0,-0.059674229472875595
AEBP2_EED_EZH2_RBBP4_SUZ12,-1.2809493194460828,1,NA
AFAP1L2,-0.5321970110081292,3,0.17348980903625488
AFDN,-1.5631943752098654,3,0.17414554953575134
AGRN,0.13444672208301955,3,-0.030324354767799377
